[0722/100709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/100222:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/101632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/144727:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/145348:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/145450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/145452:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/150109:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/162008:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/162742:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/162750:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/163129:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0723/170240:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0725/092808:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0725/095331:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0725/102553:ERROR:file_io.cc(30)] read: expected 4, observed 0
